2021-10-29 18:28:51.545 -03 [6568] LOG:  database system was shut down at 2021-10-29 18:28:19 -03
2021-10-29 18:28:51.743 -03 [5536] LOG:  database system is ready to accept connections
2021-10-29 18:57:04.393 -03 [6828] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-10-29 18:57:11.023 -03 [5748] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-29 19:00:35.040 -03 [6828] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-10-29 19:00:40.500 -03 [1936] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-29 20:15:32.953 -03 [6828] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-10-29 20:15:39.418 -03 [6696] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-30 23:53:19.992 -03 [6828] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-10-30 23:53:24.605 -03 [12888] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-30 23:59:50.021 -03 [6828] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-10-30 23:59:54.653 -03 [14440] LOG:  using stale statistics instead of current ones because stats collector is not responding
